name,platform,year_of_release,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales,critic_score,critic_count,user_score,user_count,developer,rating
Danganronpa Another Episode: Ultra Despair Girls,PSV,2014,Action,Nippon Ichi Software,0.06,0.01,0.12,0.02,0.21,72.0,35.0,8.4,77.0,Spike Chunsoft,M
The Wolf Among Us,PS4,2014,Adventure,Telltale Games,0.1,0.07,0.0,0.04,0.21,83.0,6.0,8.4,259.0,Telltale Games,M
State of Decay,XOne,2015,Strategy,Microsoft Game Studios,0.14,0.05,0.0,0.02,0.21,,,,,,
NBA Live 15,XOne,2014,Sports,Electronic Arts,0.17,0.02,0.0,0.02,0.21,53.0,9.0,6.8,53.0,EA Sports,E
J Stars Victory Vs.,PSV,2014,Fighting,Namco Bandai Games,0.0,0.03,0.17,0.01,0.21,74.0,5.0,7.9,29.0,Bandai Namco Games,T
Mega Man Legacy Collection,3DS,2016,Platform,Capcom,0.14,0.0,0.05,0.02,0.21,77.0,27.0,7.1,26.0,Digital Eclipse,E
Tony Hawk's Pro Skater 5,PS4,2015,Sports,Activision,0.09,0.08,0.0,0.03,0.21,32.0,43.0,1.5,427.0,Robomodo,T
Assassin's Creed The Ezio Collection,PS4,2016,Action,Ubisoft,0.04,0.13,0.0,0.03,0.2,72.0,32.0,7.4,49.0,Ubisoft Montreal,M
God of War Collection,PSV,2014,Action,Sony Computer Entertainment,0.08,0.06,0.01,0.05,0.2,73.0,28.0,7.4,133.0,"Sanzaru Games, Sanzaru Games, Inc.",M
Saints Row IV,XOne,2015,Action,Deep Silver,0.1,0.09,0.0,0.02,0.2,,,,,,
Valkyria Chronicles,PS4,2016,Role-Playing,Sega,0.07,0.05,0.05,0.03,0.2,,,,,,
Zombie Army Trilogy,PS4,2015,Shooter,Rebellion Developments,0.05,0.12,0.0,0.03,0.2,62.0,26.0,6.8,88.0,Rebellion,
Story of Seasons: Good Friends of the Three Villages,3DS,2016,Simulation,Marvelous Interactive,0.0,0.0,0.2,0.0,0.2,,,,,,
FIFA 16,PC,2015,Sports,Electronic Arts,0.06,0.13,0.0,0.01,0.2,81.0,10.0,4.4,296.0,EA Sports,E
Teenage Mutant Ninja Turtles: Danger of the Ooze,X360,2014,Adventure,Activision,0.11,0.07,0.0,0.02,0.2,,,6.4,7.0,WayForward,E10+
The Heavy Rain and Beyond: Two Souls Collection,PS4,2016,Action,Sony Computer Entertainment,0.0,0.17,0.0,0.03,0.2,,,,,,
Dragon Ball: Xenoverse 2,XOne,2016,Action,Namco Bandai Games,0.11,0.07,0.0,0.02,0.2,73.0,8.0,7.3,29.0,Dimps Corporation,T
Odin Sphere: Leifthrasir,PS4,2016,Role-Playing,Nippon Ichi Software,0.07,0.04,0.07,0.02,0.2,87.0,49.0,8.2,178.0,Vanillaware,T
Sleeping Dogs,XOne,2014,Action,Square Enix,0.1,0.09,0.0,0.02,0.2,,,,,,
Dying Light,PC,2015,Action,Warner Bros. Interactive Entertainment,0.12,0.06,0.0,0.02,0.2,75.0,40.0,7.9,1295.0,Techland,M
Farming Simulator 2015,XOne,2015,Simulation,Koch Media,0.1,0.08,0.0,0.02,0.2,,,,,,
Castlevania: Lords of Shadow 2,PS3,2014,Action,Konami Digital Entertainment,0.03,0.12,0.02,0.03,0.2,63.0,55.0,7.8,528.0,Mercury Steam,M
MLB 16: The Show,PS3,2016,Action,Sony Computer Entertainment,0.16,0.0,0.0,0.04,0.19,,,,,,
Shin Megami Tensei IV: Final,3DS,2016,Role-Playing,Deep Silver,0.05,0.0,0.14,0.01,0.19,,,,,,
Bound By Flame,PS4,2014,Role-Playing,Focus Home Interactive,0.08,0.09,0.0,0.03,0.19,53.0,40.0,5.9,230.0,Spiders,M
Great Phoenix Wright: Ace Attorney - Naruhodou Ryuunosuke no Bouken,3DS,2015,Action,Capcom,0.0,0.0,0.19,0.0,0.19,,,,,,
Kan Colle Kai,PSV,2016,Action,Kadokawa Games,0.0,0.0,0.19,0.0,0.19,,,,,,
LEGO Marvel's Avengers,3DS,2016,Action,Warner Bros. Interactive Entertainment,0.07,0.09,0.01,0.01,0.19,60.0,4.0,7.1,15.0,TT Games,E10+
Just Dance 2016,PS3,2015,Misc,Ubisoft,0.1,0.06,0.0,0.03,0.19,,,4.2,6.0,Ubisoft,E10+
Mafia III,PC,2016,Action,Take-Two Interactive,0.08,0.1,0.0,0.02,0.19,63.0,29.0,3.2,881.0,Hangar 13,M
Guitar Hero Live,WiiU,2015,Misc,Activision,0.12,0.05,0.0,0.02,0.19,84.0,4.0,6.1,36.0,"Activision, FreeStyleGames",T
Dynasty Warriors 8: Empires,PS4,2014,Action,Tecmo Koei,0.06,0.07,0.03,0.03,0.19,63.0,30.0,7.5,42.0,Omega Force,T
South Park: The Stick of Truth,PC,2014,Role-Playing,Ubisoft,0.07,0.1,0.0,0.01,0.19,85.0,48.0,8.6,1739.0,Obsidian Entertainment,M
God Eater Resurrection,PSV,2015,Action,Namco Bandai Games,0.0,0.0,0.19,0.0,0.19,,,8.8,17.0,"Shift, Bandai Namco Games",T
Evolve,PC,2015,Shooter,Take-Two Interactive,0.08,0.1,0.0,0.02,0.19,77.0,39.0,4.3,969.0,Turtle Rock Studios,M
3rd Super Robot Wars Z: Tengoku-Hen,PSV,2015,Action,Namco Bandai Games,0.0,0.0,0.19,0.0,0.19,,,,,,
The Walking Dead: Season Two,PS3,2014,Adventure,Telltale Games,0.09,0.06,0.0,0.03,0.19,,,,,,
3rd Super Robot Wars Z Jigoku Hen,PSV,2014,Role-Playing,Namco Bandai Games,0.0,0.0,0.19,0.0,0.19,,,,,,
The Legend of Heroes: Trails of Cold Steel II,PSV,2014,Role-Playing,Nippon Ichi Software,0.02,0.02,0.13,0.01,0.19,80.0,23.0,7.3,73.0,Falcom,T
Singstar: Ultimate Party,PS4,2014,Misc,Sony Computer Entertainment Europe,0.0,0.16,0.0,0.03,0.19,47.0,19.0,4.1,18.0,SCEE,
Phantasy Star Nova,PSV,2014,Role-Playing,Sega,0.0,0.0,0.19,0.0,0.19,,,,,,
Dance Central: Spotlight,XOne,2014,Misc,Microsoft Game Studios,0.15,0.03,0.0,0.0,0.19,74.0,19.0,7,47.0,Harmonix Music Systems,T
Sword Art Online: Hollow Realization,PS4,2016,Role-Playing,Namco Bandai Games,0.06,0.02,0.1,0.02,0.19,69.0,32.0,7.7,52.0,Bandai Namco Games,T
Godzilla (2015),PS4,2014,Action,Namco Bandai Games,0.11,0.03,0.02,0.03,0.19,,,,,,
Guilty Gear Xrd: Sign,PS3,2014,Fighting,Arc System Works,0.1,0.0,0.07,0.02,0.18,,,,,,
How to Train Your Dragon 2,Wii,2014,Adventure,Little Orbit,0.04,0.13,0.0,0.01,0.18,,,tbd,,Torus Games,E10+
Just Dance 2017,Wii,2016,Misc,Ubisoft,0.06,0.11,0.0,0.01,0.18,,,tbd,,Ubisoft Paris,E10+
Shape Up,XOne,2014,Misc,Ubisoft,0.08,0.09,0.0,0.01,0.18,58.0,6.0,8.3,28.0,Ubisoft Montreal,E
Jikkyou Powerful Pro Baseball 2016,PSV,2016,Sports,Konami Digital Entertainment,0.0,0.0,0.18,0.0,0.18,,,,,,
Metal Gear Solid V: The Phantom Pain,X360,2015,Action,Konami Digital Entertainment,0.12,0.04,0.0,0.02,0.18,,,7.2,159.0,"Kojima Productions, Moby Dick Studio",M
Atelier Shallie: Alchemists of the Dusk Sea,PS3,2014,Role-Playing,Tecmo Koei,0.06,0.02,0.08,0.02,0.18,76.0,26.0,7.7,44.0,Gust,E10+
Saint Seiya: Soldiers' Soul,PS4,2015,Fighting,Namco Bandai Games,0.0,0.12,0.04,0.02,0.18,59.0,30.0,7.8,45.0,Dimps Corporation,T
Corpse Party: Blood Drive,PSV,2014,Adventure,Marvelous Interactive,0.08,0.01,0.06,0.03,0.18,60.0,19.0,7.4,58.0,5pb,M
MotoGP 14 ,PS4,2014,Racing,Milestone S.r.l.,0.04,0.11,0.0,0.03,0.18,73.0,28.0,6.4,26.0,Milestone S.r.l,E
Skylanders Imaginators,WiiU,2016,Platform,Activision,0.09,0.08,0.0,0.02,0.18,76.0,4.0,tbd,,Toys for Bob,E10+
Senran Kagura: Estival Versus,PSV,2015,Action,Marvelous Interactive,0.04,0.02,0.09,0.02,0.18,71.0,4.0,7.4,34.0,Marvelous Inc.,M
GRID Autosport,PS3,2014,Racing,Codemasters,0.05,0.09,0.01,0.03,0.18,75.0,35.0,6.8,62.0,Codemasters,E
Payday 2,XOne,2015,Shooter,505 Games,0.09,0.07,0.0,0.02,0.18,,,,,,
Senran Kagura: Estival Versus,PS4,2015,Action,Marvelous Interactive,0.08,0.0,0.08,0.02,0.18,67.0,25.0,8,96.0,Marvelous Inc.,M
Back to the Future: The Game,PS4,2015,Adventure,Telltale Games,0.1,0.05,0.0,0.03,0.18,,,7.1,18.0,Telltale Games,T
NBA Live 16,PS4,2015,Sports,Electronic Arts,0.1,0.04,0.0,0.03,0.18,59.0,27.0,6.1,70.0,EA Sports,E
Dark Souls II,PC,2014,Role-Playing,Namco Bandai Games,0.08,0.08,0.0,0.01,0.17,91.0,36.0,7.1,2318.0,From Software,T
Project Spark,XOne,2014,Misc,Microsoft Game Studios,0.11,0.05,0.0,0.02,0.17,73.0,26.0,7,151.0,Microsoft Game Studios,E10+
Yakuza Zero: The Place of Oath,PS4,2015,Action,Sega,0.0,0.0,0.17,0.0,0.17,,,,,,
MotoGP 15,PS4,2015,Racing,Milestone S.r.l.,0.0,0.12,0.03,0.02,0.17,66.0,15.0,,,Milestone S.r.l,
Toukiden Kiwami,PS4,2015,Action,Tecmo Koei,0.05,0.07,0.02,0.02,0.17,74.0,35.0,7.6,74.0,Koei Tecmo Games,T
Madden NFL 17,X360,2016,Sports,Electronic Arts,0.14,0.02,0.0,0.02,0.17,,,0.7,6.0,EA Sports,E
Jikkyou Powerful Pro Baseball 2016,PS4,2016,Sports,Konami Digital Entertainment,0.0,0.0,0.17,0.0,0.17,,,,,,
Danganronpa 2: Goodbye Despair,PSV,2014,Misc,Nippon Ichi Software,0.08,0.05,0.0,0.04,0.17,81.0,50.0,8.7,140.0,Spike Chunsoft,M
Project X Zone 2: Brave New World,3DS,2015,Role-Playing,Namco Bandai Games,0.05,0.03,0.08,0.01,0.17,,,,,,
Deus Ex: Mankind Divided,XOne,2016,Role-Playing,Square Enix,0.09,0.06,0.0,0.01,0.17,83.0,18.0,7.2,175.0,Eidos Montreal,M
Digimon Story: Cyber Sleuth,PSV,2015,Role-Playing,Namco Bandai Games,0.0,0.0,0.17,0.0,0.17,,,8.8,92.0,Media Vision,T
Bladestorm: Nightmare,PS4,2015,Action,Tecmo Koei,0.08,0.04,0.03,0.02,0.17,58.0,33.0,6.5,21.0,Omega Force,T
Sumikko Gurashi: Koko ga Ochitsukundesu,3DS,2014,Action,Nippon Columbia,0.0,0.0,0.17,0.0,0.17,,,,,,
How to Train Your Dragon 2,X360,2014,Adventure,Little Orbit,0.05,0.1,0.0,0.01,0.17,,,2.9,7.0,Torus Games,E10+
Mobile Suit Gundam: Extreme VS Force,PSV,2015,Action,Namco Bandai Games,0.0,0.0,0.17,0.0,0.17,57.0,25.0,7.3,15.0,Bandai Namco Games,E10+
Dragon Quest X,3DS,2014,Role-Playing,Square Enix,0.0,0.0,0.17,0.0,0.17,,,,,,
NASCAR '14,X360,2014,Racing,Deep Silver,0.15,0.0,0.0,0.02,0.17,65.0,4.0,5.1,14.0,Deep Silver,E
NASCAR '15,X360,2015,Sports,Deep Silver,0.15,0.0,0.0,0.02,0.17,,,3.8,6.0,DMi Games,E
One Piece: Pirate Warriors 3,PSV,2015,Action,Namco Bandai Games,0.0,0.03,0.13,0.01,0.17,76.0,4.0,6.3,17.0,Omega Force,T
Jikkyou Powerful Pro Yakyuu 2014,PS3,2014,Sports,Konami Digital Entertainment,0.0,0.0,0.17,0.0,0.17,,,,,,
7th Dragon III Code: VFD,3DS,2015,Role-Playing,Sega,0.04,0.0,0.12,0.0,0.17,77.0,26.0,8.2,38.0,Sega,T
Far Cry: Primal,PC,2016,Action,Ubisoft,0.04,0.11,0.0,0.01,0.16,74.0,18.0,4.8,368.0,Ubisoft Montreal,M
Dengeki Bunko Fighting Climax,PS3,2014,Fighting,Sega,0.05,0.0,0.09,0.01,0.16,66.0,13.0,8.2,29.0,"Sega, French-Bread",T
Mirror's Edge Catalyst,XOne,2016,Platform,Electronic Arts,0.09,0.06,0.0,0.01,0.16,72.0,46.0,4.4,266.0,EA DICE,T
Return to PopoloCrois: A Story of Seasons Fairytale,3DS,2015,Simulation,Marvelous Entertainment,0.05,0.0,0.1,0.01,0.16,72.0,28.0,6.8,15.0,Marvelous Inc.,E10+
Murdered: Soul Suspect,XOne,2014,Action,Square Enix,0.08,0.07,0.0,0.01,0.16,51.0,17.0,7,130.0,Airtight Games,M
Lego Star Wars: The Force Awakens,PS3,2016,Action,Warner Bros. Interactive Entertainment,0.04,0.1,0.0,0.03,0.16,,,tbd,,TT Games,E10+
The Crew,PC,2014,Racing,Ubisoft,0.0,0.15,0.0,0.01,0.16,71.0,12.0,6.4,463.0,"Ubisoft Reflections, Ivory Tower",T
Guilty Gear Xrd: Sign,PS4,2014,Fighting,Arc System Works,0.1,0.0,0.04,0.02,0.16,,,,,,
Yakuza Kiwami,PS4,2016,Adventure,Sega,0.0,0.0,0.16,0.0,0.16,,,,,Ryu ga Gotoku Studios,
BioShock The Collection,XOne,2016,Shooter,Take-Two Interactive,0.08,0.06,0.0,0.01,0.16,84.0,16.0,8.3,79.0,2K Games,M
The Walking Dead: Season One,XOne,2014,Adventure,Telltale Games,0.08,0.06,0.0,0.01,0.16,,,,,,
Ar Nosurge: Ode to an Unborn Star,PS3,2014,Role-Playing,Tecmo Koei,0.05,0.03,0.06,0.02,0.16,67.0,23.0,7.8,49.0,Gust,T
Transformer: Rise of the Dark Spark,X360,2014,Action,Activision,0.09,0.06,0.0,0.01,0.16,,,,,,
Wildstar,PC,2014,Role-Playing,NCSoft,0.08,0.07,0.0,0.01,0.16,82.0,52.0,7.4,965.0,Carbine Studios,T
Harvest Moon: The Lost Valley,3DS,2014,Simulation,Natsume,0.13,0.01,0.0,0.02,0.16,,,,,,
Fantasia: Music Evolved,XOne,2014,Misc,Disney Interactive Studios,0.11,0.03,0.0,0.01,0.15,77.0,48.0,7.5,67.0,Harmonix Music Systems,E10+
Wolfenstein: The Old Blood,XOne,2015,Action,Bethesda Softworks,0.07,0.07,0.0,0.01,0.15,75.0,23.0,8,101.0,MachineGames,
Theatrhythm Dragon Quest,3DS,2015,Misc,Square Enix,0.0,0.0,0.15,0.0,0.15,,,,,,
Disgaea 4: A Promise Unforgotten,PSV,2014,Role-Playing,Nippon Ichi Software,0.03,0.03,0.08,0.02,0.15,,,,,,
Gundam Breaker 2,PSV,2014,Action,Namco Bandai Games,0.0,0.0,0.15,0.0,0.15,,,,,,
Tokyo Xanadu,PSV,2015,Role-Playing,Nihon Falcom Corporation,0.0,0.0,0.15,0.0,0.15,,,,,,
3rd Super Robot Wars Z: Tengoku-Hen,PS3,2015,Action,Namco Bandai Games,0.0,0.0,0.15,0.0,0.15,,,,,,
LEGO The Hobbit,PSV,2014,Action,Warner Bros. Interactive Entertainment,0.02,0.09,0.0,0.03,0.15,,,2.5,13.0,TT Games,E10+
Oreshika: Tainted Bloodlines,PSV,2014,Role-Playing,Sony Computer Entertainment,0.0,0.0,0.15,0.0,0.15,78.0,26.0,8,84.0,Alfa System,T
Pro Baseball Spirits 2015,PS3,2015,Action,Konami Digital Entertainment,0.0,0.0,0.15,0.0,0.15,,,,,,
Warriors Orochi 3,PS4,2014,Action,Tecmo Koei,0.04,0.05,0.04,0.02,0.15,,,,,,
Dishonored,XOne,2015,Action,Bethesda Softworks,0.09,0.05,0.0,0.01,0.15,,,,,,
Battleborn,XOne,2016,Shooter,Take-Two Interactive,0.1,0.04,0.0,0.01,0.15,71.0,20.0,7.2,171.0,Gearbox Software,T
The King of Fighters XIV,PS4,2016,Fighting,Deep Silver,0.07,0.02,0.04,0.02,0.15,79.0,54.0,8.7,208.0,SNK Playmore,T
Sword Art Online: Hollow Realization,PSV,2016,Role-Playing,Namco Bandai Games,0.0,0.04,0.1,0.01,0.15,60.0,5.0,7,8.0,Bandai Namco Games,T
LEGO Harry Potter Collection,PS4,2016,Action,Warner Bros. Interactive Entertainment,0.01,0.11,0.0,0.02,0.15,73.0,16.0,8.1,7.0,Warner Bros. Interactive Entertainment,E10+
Sumikko Gurashi: Omise Hajimerundesu,3DS,2015,Action,Nippon Columbia,0.0,0.0,0.15,0.0,0.15,,,,,,
The Legend of Heroes: Trails of Cold Steel II,PS3,2014,Role-Playing,Nippon Ichi Software,0.02,0.02,0.11,0.01,0.15,90.0,4.0,7.8,71.0,Falcom,T
Yakuza: Ishin,PS4,2014,Action,Sega,0.0,0.0,0.15,0.0,0.15,,,,,,
Skylanders: SuperChargers,Wii,2015,Action,Activision,0.02,0.12,0.0,0.01,0.15,,,,,,
Lego Star Wars: The Force Awakens,WiiU,2016,Action,Warner Bros. Interactive Entertainment,0.06,0.07,0.01,0.01,0.15,74.0,6.0,8,11.0,TT Games,E10+
ReCore,XOne,2016,Action,Microsoft Game Studios,0.08,0.05,0.0,0.01,0.15,63.0,75.0,6.6,445.0,"Armature Studio, comcept",T
Derby Stallion Gold,3DS,2014,Sports,Kadokawa Shoten,0.0,0.0,0.14,0.0,0.14,,,,,,
BlazBlue: Chrono Phantasma Extend,PS4,2015,Action,PQube,0.07,0.03,0.02,0.02,0.14,80.0,10.0,7.7,31.0,Arc System Works,T
Famista Returns,3DS,2015,Sports,Namco Bandai Games,0.0,0.0,0.14,0.0,0.14,,,,,,
Alien: Isolation,PC,2014,Shooter,Sega,0.0,0.14,0.0,0.01,0.14,81.0,41.0,8.4,1588.0,Creative Assembly,M
Just Cause 3,PC,2015,Action,Square Enix,0.03,0.11,0.0,0.01,0.14,74.0,50.0,5.3,529.0,Avalanche Studios,M
Gundam Breaker 2,PS3,2014,Action,Namco Bandai Games,0.0,0.0,0.14,0.0,0.14,,,,,,
Metal Gear Solid V: Ground Zeroes,X360,2014,Action,Konami Digital Entertainment,0.07,0.05,0.01,0.01,0.14,,,5.7,148.0,Kojima Productions,M
Skylanders Imaginators,PS4,2016,Platform,Activision,0.04,0.08,0.0,0.02,0.14,80.0,47.0,5.5,17.0,Toys for Bob,E10+
XCOM 2,PS4,2016,Strategy,Take-Two Interactive,0.04,0.08,0.0,0.02,0.14,88.0,28.0,8,116.0,Firaxis Games,T
Pro Evolution Soccer 2015,XOne,2014,Sports,Konami Digital Entertainment,0.03,0.1,0.0,0.01,0.14,79.0,9.0,7.3,65.0,Konami,E
WWE 2K17,PS3,2016,Sports,Take-Two Interactive,0.05,0.07,0.0,0.02,0.14,,,4.1,9.0,Yuke's,T
Cities: Skylines,PC,2015,Simulation,Paradox Interactive,0.0,0.13,0.0,0.01,0.14,85.0,60.0,8.9,1404.0,Colossal Order,E
Shovel Knight,3DS,2015,Platform,Yacht Club Games,0.08,0.04,0.02,0.01,0.14,90.0,9.0,8.2,225.0,Yacht Club Games,E
Pro Evolution Soccer 2015,X360,2014,Sports,Konami Digital Entertainment,0.05,0.08,0.0,0.01,0.14,,,6.8,29.0,Konami,E
The Walking Dead: Season Two,XOne,2014,Adventure,Telltale Games,0.08,0.05,0.0,0.01,0.14,,,,,,
Monster Hunter Diary: Poka Poka Airou Village DX,3DS,2015,Action,Capcom,0.0,0.0,0.14,0.0,0.14,,,,,,
Odin Sphere: Leifthrasir,PSV,2016,Role-Playing,Nippon Ichi Software,0.02,0.02,0.09,0.01,0.14,93.0,5.0,7.9,83.0,Vanillaware,T
Homefront: The Revolution,XOne,2016,Shooter,Deep Silver,0.06,0.07,0.0,0.01,0.14,49.0,12.0,4.1,106.0,Deep Silver Dambuster Studios,M
Pro Yaky? Spirits 2014,PS3,2014,Sports,Konami Digital Entertainment,0.0,0.0,0.14,0.0,0.14,,,,,,
7 Days to Die,PS4,2016,Action,Telltale Games,0.04,0.08,0.0,0.02,0.14,45.0,16.0,5.9,140.0,The Fun Pimps Entertainment LLC,M
Rayman Legends,PSV,2014,Platform,Ubisoft,0.01,0.1,0.0,0.03,0.14,87.0,8.0,8.4,159.0,Ubisoft Montpellier,E10+
Transformers: Devastation,XOne,2015,Action,Activision,0.09,0.04,0.0,0.01,0.14,75.0,25.0,7.9,55.0,PlatinumGames,T
Dead Island Definitive Collection,PS4,2016,Action,Deep Silver,0.03,0.07,0.01,0.02,0.14,63.0,32.0,6.4,45.0,Techland,M
DmC: Devil May Cry,XOne,2015,Action,Capcom,0.08,0.04,0.0,0.01,0.14,,,,,,
Battlefield: Hardline,PC,2015,Shooter,Electronic Arts,0.0,0.13,0.0,0.01,0.14,71.0,31.0,3.8,773.0,Visceral Games,M
Brothers: A Tale of Two Sons,PS4,2015,Adventure,505 Games,0.03,0.08,0.0,0.02,0.14,81.0,10.0,8.6,73.0,Starbreeze,T
Murdered: Soul Suspect,PS3,2014,Action,Square Enix,0.05,0.05,0.02,0.02,0.14,,,7.1,55.0,Airtight Games,M
Shining Resonance,PS3,2014,Role-Playing,Sega,0.0,0.0,0.14,0.0,0.14,,,,,,
Persona 4: Arena Ultimax,PS3,2014,Fighting,Atlus,0.0,0.0,0.13,0.0,0.14,84.0,38.0,8.1,85.0,Arc System Works,T
Call of Duty: Infinite Warfare,PC,2016,Shooter,Activision,0.04,0.08,0.0,0.01,0.14,73.0,16.0,3,440.0,Infinity Ward,M
Attack on Titan (KOEI),PSV,2016,Action,Tecmo Koei,0.0,0.0,0.13,0.0,0.13,,,,,,
Dragon Quest Heroes II: Twin Kings and the Prophecy's End,PS3,2016,Action,Square Enix,0.0,0.0,0.13,0.0,0.13,,,,,,
Pro Baseball Spirits 2015,PSV,2015,Action,Konami Digital Entertainment,0.0,0.0,0.13,0.0,0.13,,,,,,
Life is Strange,XOne,2016,Adventure,Square Enix,0.09,0.03,0.0,0.01,0.13,85.0,4.0,8.7,123.0,DONTNOD Entertainment,M
Teenage Mutant Ninja Turtles: Danger of the Ooze,3DS,2014,Adventure,Activision,0.08,0.04,0.0,0.01,0.13,,,tbd,,WayForward,E10+
Super Robot Wars BX,3DS,2015,Action,Namco Bandai Games,0.0,0.0,0.13,0.0,0.13,,,,,,
Gravity Rush Remastered,PS4,2015,Action,Sony Computer Entertainment,0.02,0.05,0.04,0.01,0.13,80.0,62.0,8.2,153.0,Bluepoint Games,T
Dengeki Bunko Fighting Climax,PSV,2014,Fighting,Sega,0.04,0.0,0.08,0.01,0.13,75.0,7.0,8.5,28.0,Sega,T
Total War: WARHAMMER,PC,2016,Strategy,Sega,0.0,0.12,0.0,0.01,0.13,86.0,77.0,7.3,556.0,Creative Assembly,T
Hasbro Family Fun Pack,XOne,2015,Misc,Ubisoft,0.1,0.02,0.0,0.01,0.13,,,tbd,,Ubisoft,E10+
The IdolM@ster: One for All,PS3,2014,Misc,Namco Bandai Games,0.0,0.0,0.13,0.0,0.13,,,,,,
Batman: Arkham Knight,PC,2015,Action,Warner Bros. Interactive Entertainment,0.09,0.03,0.0,0.01,0.13,70.0,14.0,2.5,1967.0,"Rocksteady Studios, Iron Galaxy Studios",M
Pro Evolution Soccer 2017,PS3,2016,Sports,Konami Digital Entertainment,0.01,0.05,0.06,0.01,0.13,,,7.2,19.0,Konami,E
Final Fantasy XIV: Heavensward,PS4,2015,Action,Square Enix,0.0,0.06,0.06,0.01,0.13,86.0,20.0,7.6,225.0,Square Enix,T
Watch Dogs,WiiU,2014,Action,Ubisoft,0.07,0.05,0.0,0.01,0.13,62.0,15.0,6.4,162.0,Ubisoft Romania,M
Deception IV: Blood Ties,PSV,2014,Action,Tecmo Koei,0.02,0.02,0.07,0.01,0.13,67.0,19.0,7.5,61.0,Koei Tecmo Games,M
Assassination Classroom: Grand Siege on Kuro-sensei,3DS,2015,Action,Namco Bandai Games,0.0,0.0,0.13,0.0,0.13,,,,,,
One Piece: Unlimited World Red,PSV,2014,Action,Namco Bandai Games,0.03,0.04,0.04,0.02,0.13,67.0,4.0,7.8,25.0,Ganbarion,T
Under Night In-Birth,PS3,2014,Fighting,Nippon Ichi Software,0.06,0.01,0.04,0.02,0.13,,,,,,
Hyperdevotion Noire: Goddess Black Heart,PSV,2014,Role-Playing,Idea Factory,0.04,0.01,0.06,0.02,0.13,68.0,24.0,7.1,36.0,Sting,T
Aikatsu! 365 Idol Days,3DS,2014,Adventure,Namco Bandai Games,0.0,0.0,0.13,0.0,0.13,,,,,,
NBA 2K17,PS3,2016,Sports,Take-Two Interactive,0.06,0.04,0.0,0.02,0.13,,,2,8.0,2K Games,E
Project CARS,PC,2015,Racing,Slightly Mad Studios,0.0,0.12,0.0,0.01,0.13,83.0,48.0,7.1,418.0,Slightly Mad Studios,E
Deadpool,XOne,2015,Action,Activision,0.09,0.03,0.0,0.01,0.12,,,5.7,23.0,High Moon Studios,M
LEGO Marvel's Avengers,PSV,2016,Action,Warner Bros. Interactive Entertainment,0.02,0.07,0.0,0.03,0.12,,,6.6,13.0,TT Games,E10+
DiRT Rally,XOne,2016,Racing,Codemasters,0.04,0.08,0.0,0.01,0.12,86.0,17.0,8,60.0,Codemasters,E
F1 2016 (Codemasters),XOne,2016,Racing,Codemasters,0.03,0.08,0.0,0.01,0.12,,,,,,
Gotouchi Tetsudou: Gotouchi Chara to Nihon Zenkoku no Tabi,3DS,2014,Misc,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12,,,,,,
Etrian Odyssey V,3DS,2016,Role-Playing,Atlus,0.0,0.0,0.12,0.0,0.12,,,,,,
Lego Star Wars: The Force Awakens,3DS,2016,Action,Warner Bros. Interactive Entertainment,0.04,0.07,0.01,0.01,0.12,,,7.8,9.0,TT Games,E10+
Gundam Breaker 3,PSV,2016,Action,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12,,,,,,
Mobile Suit Gundam Side Story: Missing Link,PS3,2014,Action,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12,,,,,,
Don Bradman Cricket 14,PS4,2015,Sports,Tru Blu Entertainment,0.01,0.09,0.0,0.02,0.12,76.0,4.0,7.4,19.0,Big Ant Studios,E
Atelier Sophie: The Alchemist of the Mysterious Book,PS4,2015,Role-Playing,Tecmo Koei,0.03,0.02,0.06,0.01,0.12,75.0,32.0,8.1,47.0,Gust,
Sword Art Online: Hollow Fragment,PS4,2015,Role-Playing,Namco Bandai Games,0.0,0.1,0.0,0.02,0.12,,,,,,
Robinson: The Journey,PS4,2016,Action,Crytek,0.06,0.03,0.0,0.02,0.12,65.0,40.0,6.9,62.0,Crytek,
Rise of the Tomb Raider,PC,2016,Adventure,Square Enix,0.0,0.11,0.0,0.01,0.12,86.0,45.0,7.9,915.0,"Crystal Dynamics, Nixxes Software",M
Hatsune Miku: Project Diva X,PSV,2016,Misc,Sega,0.01,0.0,0.1,0.0,0.12,83.0,5.0,8,22.0,Sega,T
Destiny: The Collection,XOne,2016,Shooter,Activision,0.05,0.06,0.0,0.01,0.12,,,tbd,,Bungie,T
Lego Star Wars: The Force Awakens,X360,2016,Action,Warner Bros. Interactive Entertainment,0.05,0.06,0.0,0.01,0.12,,,6.9,7.0,TT Games,E10+
Farming Simulator 17,XOne,2016,Simulation,Focus Home Interactive,0.04,0.07,0.0,0.01,0.12,65.0,9.0,tbd,,Giants Software,E
Dishonored 2,PC,2016,Action,Bethesda Softworks,0.04,0.07,0.0,0.01,0.12,86.0,37.0,6,383.0,Arkane Studios,M
Shin Megami Tensei: Devil Survivor 2,3DS,2015,Role-Playing,Atlus,0.0,0.02,0.09,0.0,0.12,,,,,,
